Fit_time,Load_time,Total_WallClockTime,Model,Threads,Processes,LD Mode,LD Data Type,Dequantize,Fold
45.48,4.429999999999999,0.40950000000000003,v0.1,1,4,Triangular LD,int8,False,1
44.48,3.9299999999999993,0.9209999999999999,v0.1,1,1,Triangular LD,int8,False,1
45.88,4.479999999999999,0.5573333333333333,v0.1,1,2,Triangular LD,int8,False,1
33.910000000000004,5.039999999999998,0.43983333333333335,v0.1,2,2,Triangular LD,int8,False,1
38.17999999999999,4.209999999999999,0.8186666666666667,v0.1,2,1,Triangular LD,int8,False,1
42.860000000000014,4.840000000000001,0.3125,v0.1,2,4,Triangular LD,int8,False,1
30.54,4.579999999999999,0.25383333333333336,v0.1,4,4,Triangular LD,int8,False,1
24.9,4.359999999999999,0.348,v0.1,4,2,Triangular LD,int8,False,1
22.7,3.849999999999999,0.5543333333333333,v0.1,4,1,Triangular LD,int8,False,1
24.69,4.429999999999999,0.345,v0.1,4,2,Triangular LD,int8,False,2
24.23,3.8299999999999996,0.553,v0.1,4,1,Triangular LD,int8,False,2
35.71,4.699999999999998,0.27266666666666667,v0.1,4,4,Triangular LD,int8,False,2
43.21000000000001,4.629999999999999,0.3025,v0.1,2,4,Triangular LD,int8,False,2
37.87,4.319999999999999,0.45083333333333336,v0.1,2,2,Triangular LD,int8,False,2
35.239999999999995,3.8,0.7375,v0.1,2,1,Triangular LD,int8,False,2
45.96999999999999,3.71,0.9145,v0.1,1,1,Triangular LD,int8,False,2
48.87999999999999,4.34,0.5579999999999999,v0.1,1,2,Triangular LD,int8,False,2
49.35,4.439999999999999,0.33216666666666667,v0.1,1,4,Triangular LD,int8,False,2
37.12,4.859999999999999,0.2806666666666667,v0.1,4,4,Triangular LD,int8,False,5
26.470000000000002,3.8299999999999996,0.5926666666666667,v0.1,4,1,Triangular LD,int8,False,5
26.609999999999996,4.349999999999999,0.35933333333333334,v0.1,4,2,Triangular LD,int8,False,5
29.480000000000004,3.6399999999999997,0.6376666666666666,v0.1,2,1,Triangular LD,int8,False,5
30.819999999999997,4.419999999999998,0.39799999999999996,v0.1,2,2,Triangular LD,int8,False,5
44.19,4.849999999999999,0.31183333333333335,v0.1,2,4,Triangular LD,int8,False,5
43.92,4.4799999999999995,0.3065,v0.1,1,4,Triangular LD,int8,False,5
39.6,4.18,0.4691666666666666,v0.1,1,2,Triangular LD,int8,False,5
39.57000000000001,3.4099999999999993,0.8016666666666666,v0.1,1,1,Triangular LD,int8,False,5
40.23,4.96,0.28733333333333333,v0.1,4,4,Triangular LD,int8,False,4
31.23,3.88,0.6753333333333333,v0.1,4,1,Triangular LD,int8,False,4
32.9,4.459999999999998,0.4196666666666667,v0.1,4,2,Triangular LD,int8,False,4
28.909999999999997,3.849999999999999,0.6321666666666667,v0.1,2,1,Triangular LD,int8,False,4
27.190000000000005,4.28,0.366,v0.1,2,2,Triangular LD,int8,False,4
36.17,4.489999999999999,0.28650000000000003,v0.1,2,4,Triangular LD,int8,False,4
47.63,4.299999999999999,0.31466666666666665,v0.1,1,4,Triangular LD,int8,False,4
52.55000000000001,4.519999999999999,0.5828333333333333,v0.1,1,2,Triangular LD,int8,False,4
45.910000000000004,3.5599999999999996,0.9108333333333333,v0.1,1,1,Triangular LD,int8,False,4
26.67,4.41,0.3638333333333333,v0.1,4,2,Triangular LD,int8,False,3
28.3,3.66,0.6221666666666666,v0.1,4,1,Triangular LD,int8,False,3
43.019999999999996,4.75,0.29750000000000004,v0.1,4,4,Triangular LD,int8,False,3
36.79,4.619999999999999,0.3406666666666667,v0.1,2,4,Triangular LD,int8,False,3
34.0,4.499999999999999,0.42550000000000004,v0.1,2,2,Triangular LD,int8,False,3
29.44,3.61,0.6353333333333333,v0.1,2,1,Triangular LD,int8,False,3
44.58,3.7499999999999996,0.8945000000000001,v0.1,1,1,Triangular LD,int8,False,3
47.129999999999995,4.46,0.5298333333333333,v0.1,1,2,Triangular LD,int8,False,3
45.62,4.369999999999999,0.3115,v0.1,1,4,Triangular LD,int8,False,3
